log_mass_to_light_ratio,log_Omega,log_prob
-0.45306122,1.0951338,-23799.457
-0.42857143,1.0951338,-23124.533
-0.40408164,1.0951338,-22430.482
-0.37959182,1.0951338,-21643.887
-0.35510203,1.0951338,-20876.967
-0.33061224,1.0951338,-20081.416
-0.30612245,1.0951338,-19317.998
-0.28163266,1.0951338,-18535.521
-0.25714287,1.0951338,-17768.566
-0.23265307,1.0951338,-17120.459
-0.20816326,1.0951338,-16573.936
-0.18367347,1.0951338,-16253.799
-0.15918367,1.0951338,-16163.76
-0.13469388,1.0951338,-16157.154
-0.11020408,1.0951338,-16493.133
-0.08571429,1.0951338,-17269.453
-0.06122449,1.0951338,-18410.875
-0.036734693,1.0951338,-20176.27
-0.012244898,1.0951338,-22626.172
0.012244898,1.0951338,-25914.957
0.036734693,1.0951338,-30025.604
0.06122449,1.0951338,-34925.457
0.08571429,1.0951338,-40977.684
0.11020408,1.0951338,-48073.145
0.13469388,1.0951338,-56700.516
0.15918367,1.0951338,-67020.79
0.18367347,1.0951338,-79024.336
0.20816326,1.0951338,-92717.03
0.23265307,1.0951338,-108192.6
0.25714287,1.0951338,-125537.97
0.28163266,1.0951338,-145090.69
0.30612245,1.0951338,-166929.53
0.33061224,1.0951338,-191093.66
0.35510203,1.0951338,-217207.69
0.37959182,1.0951338,-245082.39
0.40408164,1.0951338,-274692.72
0.42857143,1.0951338,-306059.3
0.45306122,1.0951338,-338599.97
0.477551,1.0951338,-372813.34
0.5020408,1.0951338,-408616.5
0.5265306,1.0951338,-445343.84
0.5510204,1.0951338,-483849.22
0.5755102,1.0951338,-526688.25
0.6,1.0951338,-570714.6
-0.6,1.1227173,-27737.29
-0.5755102,1.1227173,-26844.352
-0.5510204,1.1227173,-26081.807
-0.5265306,1.1227173,-25400.453
-0.5020408,1.1227173,-24628.094
-0.477551,1.1227173,-23750.52
-0.45306122,1.1227173,-22954.133
-0.42857143,1.1227173,-22247.04
-0.40408164,1.1227173,-21540.932
-0.37959182,1.1227173,-20884.781
-0.35510203,1.1227173,-20193.605
-0.33061224,1.1227173,-19485.266
-0.30612245,1.1227173,-18788.305
-0.28163266,1.1227173,-18080.848
-0.25714287,1.1227173,-17370.06
-0.23265307,1.1227173,-16778.879
-0.20816326,1.1227173,-16168.734
-0.18367347,1.1227173,-15754.597
-0.15918367,1.1227173,-15423.021
-0.13469388,1.1227173,-15352.669
-0.11020408,1.1227173,-15753.573
-0.08571429,1.1227173,-16582.518
-0.06122449,1.1227173,-17855.605
-0.036734693,1.1227173,-19831.852
-0.012244898,1.1227173,-22540.031
0.012244898,1.1227173,-25963.805
0.036734693,1.1227173,-30240.148
0.06122449,1.1227173,-35496.438
0.08571429,1.1227173,-41883.84
0.11020408,1.1227173,-49555.223
0.13469388,1.1227173,-58765.36
0.15918367,1.1227173,-69660.18
0.18367347,1.1227173,-82352.46
0.20816326,1.1227173,-97227.664
0.23265307,1.1227173,-114048.555
0.25714287,1.1227173,-132964.44
0.28163266,1.1227173,-153906.78
0.30612245,1.1227173,-176940.8
0.33061224,1.1227173,-202201.05
0.35510203,1.1227173,-229634.31
0.37959182,1.1227173,-259200.77
0.40408164,1.1227173,-290704.06
0.42857143,1.1227173,-323220.38
0.45306122,1.1227173,-357458.12
0.477551,1.1227173,-393706.12
0.5020408,1.1227173,-431340.38
0.5265306,1.1227173,-470453.44
0.5510204,1.1227173,-511036.06
0.5755102,1.1227173,-554681.5
0.6,1.1227173,-598481.4
-0.6,1.148653,-28206.068
-0.5755102,1.148653,-27181.59
-0.5510204,1.148653,-26212.738
-0.5265306,1.148653,-25373.195
-0.5020408,1.148653,-24338.715
-0.477551,1.148653,-23368.172
-0.45306122,1.148653,-22502.078
-0.42857143,1.148653,-21570.703
-0.40408164,1.148653,-20756.172
-0.37959182,1.148653,-19907.172
-0.35510203,1.148653,-19029.549
